"manufacturer" "model" "description" "euro_standard" "transmission_type" "engine_capacity" "fuel_type" "urban_metric" "extra_urban_metric" "combined_metric" "noise_level" "co2" "co_emissions" "nox_emissions"
"Vauxhall" "New Astra, MY2007" "2.0i 16v Turbo 170PS 5 Door Estate" "4" "Manual" 1998 "Petrol" 12.9 6.9 9.1 74 218 270 29
"Skoda" "Octavia Hatchback" "1.9 TDI PD 105bhp with DPF" "4" "Manual" 1896 "Diesel" 6.4 4.4 5.1 73 135 228 164
"Ford" "Kuga Model Year Post 2011" "2.0 Duratorq TDCi (140PS) (+DPF)" "5" "Automatic" 1997 "Diesel" 8.5 5.8 6.8 69 179 115 172
"Mercedes-Benz" "B-Class (T245) MY09" "B 200 CDI no DPF 215 Tyres on 18'' Wheels at rear" "4" "Automatic" 1992 "Diesel" 8 5.3 6.3 71 165 40 217
"Chrysler Jeep" "09MY Chrysler Grand Voyager" "3.8" "4" "Automatic" 3778 "Petrol" 18.3 8.8 12.3 73 294 624 11
"Renault" "Scènic Model Year May 2009 onward" "2.0 dCi 150" "5" "Automatic" 1995 "Diesel" 9 5.9 7 70.7 184 177 169
"Fiat" "Fiorino" "1.3 16v MultiJet Comfort-Matic" "4" "Automatic" 1248 "Diesel" 5.5 3.7 4.4 73 115 39 200
"Skoda" "Fabia Hatch" "1.2 FSI 105ps with 7speed DSG" "5" "Automatic" 1197 "Petrol" 7 4.4 5.3 72 124 262 19
"Saab" "9-3 MY2009 5 Door Estate" "1.9TID" "4" "Manual" 1910 "Diesel" 7.3 4.5 5.5 73 149 181 230
"Chevrolet" "Captiva" "2.0 VCDi LT 4WD 7 seats" "4" "Automatic" 1991 "Diesel" 10.7 7.3 8.6 74.7 225 80 300
"Skoda" "Rapid" "1.6 CR TDI 105PS Greentech" "5" "Manual" 1598 "Diesel" 4.9 3.5 4 71 106 207 145
"Volvo" "New V70 Model Year 2001" "2.4 (140 bhp)" "4" "Automatic" 2435 "Petrol" 13.1 7.1 9.3 73 222 433 35
"Vauxhall" "Astra, MY2004" "2.0CDTI POLICE 5 Door Estate From VIN: W0L0TGF3542109415" "3" "Automatic" 1995 "Diesel" 9 5.6 6.9 73 186 167 297
"Audi" "A3 Sportback" "1.8 TFSI 160ps" "4" "Manual" 1781 "Petrol" 9.1 5.4 6.7 74 159 424 13
"Volkswagen" "Tiguan" "2.0 TDI CR 140PS 4MOTION 7speed DSG BlueMotion Technology" "5" "Automatic" 1968 "Diesel" 6.9 5.5 6 71 158 141 119
"Kia" "Venga" "'2' 1.6 123bhp" "5" "Automatic" 1591 "Petrol" 8.3 5.5 6.5 71 154 232 10
"Ford" "Focus Coupé-Cabriolet, 2007 Model Year Onwards" "1.6 Duratec (100PS)" "4" "Manual" 1596 "Petrol" 9.4 5.8 7.1 71 169 547 50
"Mercedes-Benz" "CLS-Class (C219)" "CLS320 CDI 285 Tyres at rear" "4" "Automatic" 2987 "Diesel" 11 6.4 8.1 70 215 30 203
"Volvo" "C30 Model Year 07" "1.6" "4" "Manual" 1596 "Petrol" 9.3 5.7 7 72 167 447 27
"Saab" "9-5 Series 5 Door Estate" "2.3 turbo 185hp B235E" "3" "Automatic" 2290 "Petrol" 15.1 7.6 10.3 71 246 650 10
"Volkswagen" "Touareg" "3.0 V6 TSI Hybrid 333PS" "5" "Automatic" 2995 "Hybrid" 8.7 7.9 8.2 75 193 220 45
"Vauxhall" "Corsa, MY2004" "1.4 16v SXI 3 Door Hatchback From VIN: W0L0XCF0844051772" "4" "Manual" 1364 "Petrol" 7.9 4.7 5.9 71 142 278 21
"Porsche" "Panamera" "Hybrid Tiptronic" "5" "Automatic" 2995 "Hybrid" 7.4 6.6 6.8 72 159 278 40
"Mercedes-Benz" "E Class (S211) Estate" "E280 up to 265 Tyres at rear" "4" "Manual" 2997 "Petrol" 13.9 7.4 9.8 72 234 372 12
"Toyota" "Prius MY2012" "T Spirit with Solar Roof 1.8VVT-i hybrid E-CVT" "5" "Automatic" 1798 "Hybrid" 3.9 3.7 3.9 69 89 258 6
"Vauxhall" "Signum, MY2006" "2.0i 16v Turbo 5 Door Hatchback with 19\" tyre" "4" "Manual" 1998 "Petrol" 12.9 6.7 9 73 216 731 14
"Jaguar Cars" "XF" "TDV6 cDPF" "4" "Automatic" 2720 "Diesel" 10.4 5.8 7.5 68 199 160 194
"Chrysler Jeep" "Chrysler Grand Voyager 05MY" "3.3 LX" "3" "Automatic" 3301 "Petrol" 18.2 10.5 13.3 70 319 754 29
"Mercedes-Benz" "CLC-Class Coupé Model Year 2009" "CLC 160 BlueEFFICIENCY 245 Tyres at rear" "4" "Automatic" 1597 "Petrol" 10.9 6.2 7.9 71 189 409 10
"Lexus" "LS MY2011" "LS600h SWB" "5" "Automatic" 4969 "Hybrid" 11.2 8 9.3 71.2 218 295 15
"Suzuki" "Grand Vitara" "GV 2000(A) 3 door Estate From VIN JSAFTA52V00150001" "3" "Automatic" 1995 "Petrol" 12.2 7.9 9.5 72.1 232 355 44
"Fiat" "Scudo" "Combi 1.6 MultiJet 5 seat" "4" "Manual" 1560 "Diesel" 8.4 6.6 7.2 74.4 191 111 325
"Toyota" "Prius, MY2012" "T4 1.8 VVT-i hybrid E-CVT" "5" "Automatic" 1798 "Hybrid" 4 3.8 4 69 92 258 6
"Ford" "New Galaxy" "2.3i 16V" "3" "Automatic" 2295 "Petrol" 15.1 8.6 11 72 264 300 100
